id,source_name,sample_type,script_mix,difficulty,has_digit,ned,ws_ned,nfkc_ws_ned,yi_ned,han_ned,dist,gt_len,pred_len,flags,original_id,gt,pred
luoe_teyi_line_000281,《勒俄特依》译注,line,yi,medium,True,0.500000,0.500000,0.500000,0.000000,,7,7,14,"latex,ascii_any",book_00317_luoe_teyi_annotated__luoe_teyi_annotated_p414_old_luoe_reference__v3_box_017__body_line,ꐱꇁꀮꄮ①ꄃ。,ꐱꇁꀮꄮ\(^{①}\)ꄃ。
xuan_yi_2_line_000356,凉山彝文资料选译第2集,line,yi,medium,False,0.350000,0.333333,0.333333,0.375000,,7,14,20,ascii_any,book_00392_xuan_yi_2__xuan_yi_2_p102_old_selection_same_batch__v4_box_011__part_003,"ꊨꃀꏃꏼꐛ；
ꋍꑷꎭꂯꆹ，","ꊨꃀꏃꏼꐛ；
ꁍꀃꀊꈌꊃꊌ
ꋍꑷꎭꂯꆹ，"
handwriting_region_000576,真实手写,region,yi,hard,True,0.333333,0.344828,0.344828,0.326087,,20,60,55,ascii_any,handwriting_00032_hw_20260619_032_HWN_PARAGRAPH_3LINE_012,"ꈬꊯꈬꉘꏮ，ꌅꀋꅔꅥꄰ，ꐧꃅꌻꑘꏃ。
ꇉꅶ45678ꈹꀮꆈ126ꂸꃹ，ꋋꆹꀋꉬꆏ。
ꎼꇁꃏꉬꄷ，ꋍꊂꂿꈭꐨ，ꏜꋦꁊꆉꋦ。","ꈬꄚꈬꉘꂄ，ꌅꀋꅔꅥꄰ，ꐧꃅꊶꑘꅍ。
ꇈꅶꊃꉉꀚꈹꀮꀋꇓꑷꃪ，ꋋꆹꂷꉬꍵ
ꎼꇁꃏꉬꄷ，ꋍꊂꂾꈭꐨ，ꏜꋦꁊꆉꋦ。"
le_e_ma_mu_guide_line_000170,勒俄玛牧导读教程,line,yi_han,medium,True,0.280000,0.280000,0.280000,0.000000,0.000000,7,18,25,"latex,ascii_any",book_00170_le_e_ma_mu_guide__le_e_ma_mu_guide_p086_modern_yi_han_mixed__v3_box_002__body_line,ꋋꆹꄲꃅꄜ①／ꋋꈨꑞꑵꄜ这是指什么？,ꋋꆹꄲꃅꄜ\(^{①}\)／ꋋꈨꑞꑵꄜ这是指什么？
handwriting_region_000566,真实手写,region,yi_han,hard,False,0.250000,0.268657,0.268657,0.280702,1.000000,18,72,70,ascii_any,handwriting_00022_hw_20260619_022_HWN_PARAGRAPH_3LINE_002,"ꇤꇉꆹꀸꄃ，ꒈꀑꒈꂥꏍꄉꈻ，
ꇐꉙꀉꇐꌧꅊꇈ。
ꎺꁧꀂꏽꉆꄉꁻ，ꃮꃀꌧꊈꀑ
唯见日寒月暖，ꒆꂪꇱ，
ꉾꂾꏂꉐꒃ来煎人寿ꊿꀀꁍ
ꃅꄉ，ꒆꇊꂾꌕꉖ。","ꇤꇉꆹꀸꎳ，ꒈꀑꒈꈨꏍꏾꈻ，
ꇐꉙꀉꇐꌧꅊꇈ。
ꎺꁧꀂꄭꉆꄉꁻ，ꃮꃀꌧꊈꀑ
ꆿꀒꈲꊏꈘꒌ，ꒆꂪꇱ，
ꉾꂾꏂꒊꒃꎯꁢꋘꐱꃑ
ꃅꄉ，ꒆꇊꂾꌕꉖ。"
gen_yu_hua_line_000016,根与花,line,yi,easy,True,0.250000,0.250000,0.250000,0.500000,,1,4,4,ascii_any,book_00016_gen_yu_hua__gen_yu_hua_p018_novel_plain_yi__v3_box_001__header_text_line,12ꀋꍝ,12ꀋꂓ
handwriting_region_000557,真实手写,region,yi,hard,False,0.219512,0.184211,0.184211,0.218750,,9,41,41,ascii_any,handwriting_00013_hw_20260619_013_HWN_PARAGRAPH_2LINE_013,"ꁮꏂꃪꆉꇵꆹꈯ，ꀻꑳꐎ
ꁠꇁ，ꆪꌺꐧꋉꄉ，
ꐛꆹꊿꃅꐙ，ꋧꌺꏃꋍꈓ，ꊫꉻ
ꆻꄧꄃ。","ꁮꏂꃪꆉꇵꆹꈯ，ꀻꉢꐎ
ꁮꇁ，ꈤꌺꄗꋉꏾ，ꐛꆹ
ꊿꃅꐙ，ꋧꌺꏃꋍꀂ，ꊫꉻ
ꆻꄧꎳ。"
handwriting_region_000551,真实手写,region,yi,hard,False,0.214286,0.230769,0.230769,0.272727,,9,41,42,ascii_any,handwriting_00007_hw_20260619_007_HWN_PARAGRAPH_2LINE_007,"ꈌꅑꑌꀋꋠ，
ꐧꇁꃰꊿꋒ，ꐧꋉꈲꏿ
ꎻ。ꀏꆹꅉꂸꐛ，ꈪꊂꐧ
ꋦꁍꑌꐛ，ꉷꂷꉆꅉꋒ。","ꈌꅑꁻꀋꋠ，
ꐔꑍꃰꅵꋒ，ꄥꀥꀿꊙꏿ
ꎻ。ꀏꆹꅉꂸꐛ，ꈪꊂꐧ
ꋦꁍꑌꐛ，ꃘꂷꉆꅉꋒ。"
handwriting_region_000567,真实手写,region,yi,hard,False,0.209677,0.220339,0.220339,0.254902,,13,61,62,ascii_any,handwriting_00023_hw_20260619_023_HWN_PARAGRAPH_3LINE_003,"ꃅꃴꃅꇴꌅꊂꑟ，ꉬꄚꇴꌅꆏ，ꀱꇁ
ꄵꇓꁦꂪꉆ。ꁡꇤꆗꈩꅉꑌꐛ，
ꁍꉺꌺꌕꄚꄉꒆ。ꌺꇢꀋꈨꆹꐈꆃ，ꃅ
ꏂꊀꁱꌈ，ꌩꇺꃅꌐꊤ，","ꃅꊴꃴꃅꇴꌅꊂꁥ，ꉬꄚꇴꌅꆏ，ꀱꑍ
ꄵꁘꁧꂪꉆ。ꁡꇓꆗꈩꁓꅪꐛ，
ꁍꎌꌺꌕꄚꄉꒆ。ꌺꇢꀋꈨꆹꐈꆃ，ꃅ
ꏂꃱꁱꌈ，ꃼꀺꃅꌐꁻ，"
handwriting_region_000577,真实手写,region,yi_han,hard,False,0.188406,0.196970,0.196970,0.203704,1.000000,13,69,68,ascii_any,handwriting_00033_hw_20260619_033_HWN_PARAGRAPH_4LINE_001,"ꈑꆪꃰꒃꅑ，ꑫꒃꅈꂸꊌ，ꁬꈬꏂꊂꍅ。
蓝田日暖玉生烟。ꋒꂷꒊꂷꋒ，ꉌꐔꋍꂷꊌ，
ꃅꇔꄹꃴꏪ，ꏮꆹꉔꈯꒊꆈꉆ，
ꀗꊪꆹꆺꄷ，ꃢꋒꃢꃀꀊꏂꋒ。","ꈑꆪꃰꒃꅑ，ꑫꅺꅈꂸꑲ，ꁬꈬꏂꊂꍅ。
蓬ꋦꁵꎳꀨꁠ。ꋒꂷꒊꂷꋒ，ꆂꐔꋍꂷꊌ，
ꃅꆳꄹꃴꏪ，ꏮꆹꉔꈯꒊꆈꉆ，
ꀗꊪꆹꆺꄷ，ꏃꋒꏪꃀꀊꏂꋒ。"
