id,source_name,sample_type,script_mix,difficulty,has_digit,ned,ws_ned,nfkc_ws_ned,yi_ned,han_ned,dist,gt_len,pred_len,flags,original_id,gt,pred
gen_yu_hua_line_000101,根与花,line,yi,easy,True,0.700000,0.666667,0.666667,0.500000,,7,10,6,,book_00101_gen_yu_hua__gen_yu_hua_p202_novel_plain_yi__v3_box_001__header_text_line,196 ꀄꂼꂻꈤꀋꉆ,ꀨꂀꃰꈤꀋꉆ
gen_yu_hua_line_000082,根与花,line,yi,easy,True,0.500000,0.500000,0.500000,0.400000,,6,12,10,,book_00082_gen_yu_hua__gen_yu_hua_p104_novel_plain_yi__v3_box_001__header_text_line,98ꉂꎺꐙꍚꀕꌂꏣꎵꑳꀕ,ꐛꉺꉀꆈꀕꌂꏣꎵꑳꀕ
luoe_teyi_line_000281,《勒俄特依》译注,line,yi,medium,True,0.500000,0.500000,0.500000,0.000000,,7,7,14,"latex,ascii_any",book_00317_luoe_teyi_annotated__luoe_teyi_annotated_p414_old_luoe_reference__v3_box_017__body_line,ꐱꇁꀮꄮ①ꄃ。,ꐱꇁꀮꄮ\(^{①}\)ꄃ。
xuan_yi_3_line_000450,凉山彝文资料选译第3集,line,yi_han,medium,False,0.500000,0.500000,0.500000,0.000000,1.000000,2,4,2,,book_00486_xuan_yi_3__xuan_yi_3_p145_old_selection_same_batch__v3_box_002__body_line,ꊰꃘ十六,ꊰꃘ
gen_yu_hua_line_000093,根与花,line,yi,easy,True,0.500000,0.428571,0.428571,0.333333,,4,8,6,,book_00093_gen_yu_hua__gen_yu_hua_p153_novel_plain_yi__v3_box_001__header_text_line,ꐴꌋꆀꃨ 147,ꐴꌋꆀꃨꌉꊃ
gen_yu_hua_line_000062,根与花,line,yi,easy,True,0.428571,0.333333,0.333333,0.200000,,3,7,5,,book_00062_gen_yu_hua__gen_yu_hua_p067_novel_plain_yi__v3_box_001__header_text_line,ꐴꌋꆀꃨ 61,ꐴꌋꆀꃨꉔ
xuan_yi_3_line_000466,凉山彝文资料选译第3集,line,yi_han,medium,False,0.384615,0.384615,0.384615,0.800000,0.166667,5,13,13,,book_00502_xuan_yi_3__xuan_yi_3_p181_old_selection_same_batch__v3_box_004__body_line,ꋍꆹꇤꃪꊐ，能抛一节向岩，,ꋍꅤꐦꆺꊖ，能地一节向岩，
xuan_yi_2_line_000356,凉山彝文资料选译第2集,line,yi,medium,False,0.350000,0.333333,0.333333,0.375000,,7,14,20,ascii_any,book_00392_xuan_yi_2__xuan_yi_2_p102_old_selection_same_batch__v4_box_011__part_003,"ꊨꃀꏃꏼꐛ；
ꋍꑷꎭꂯꆹ，","ꊨꃀꏃꏼꐛ；
ꁍꀃꀊꈌꊃꊌ
ꋍꑷꎭꂯꆹ，"
handwriting_region_000576,真实手写,region,yi,hard,True,0.333333,0.344828,0.344828,0.326087,,20,60,55,ascii_any,handwriting_00032_hw_20260619_032_HWN_PARAGRAPH_3LINE_012,"ꈬꊯꈬꉘꏮ，ꌅꀋꅔꅥꄰ，ꐧꃅꌻꑘꏃ。
ꇉꅶ45678ꈹꀮꆈ126ꂸꃹ，ꋋꆹꀋꉬꆏ。
ꎼꇁꃏꉬꄷ，ꋍꊂꂿꈭꐨ，ꏜꋦꁊꆉꋦ。","ꈬꄚꈬꉘꂄ，ꌅꀋꅔꅥꄰ，ꐧꃅꊶꑘꅍ。
ꇈꅶꊃꉉꀚꈹꀮꀋꇓꑷꃪ，ꋋꆹꂷꉬꍵ
ꎼꇁꃏꉬꄷ，ꋍꊂꂾꈭꐨ，ꏜꋦꁊꆉꋦ。"
yi_dictionary_line_000488,彝文检字本,line,yi_han,medium,False,0.333333,0.333333,0.333333,0.000000,0.000000,2,6,6,,book_00524_yi_dictionary__yi_dictionary_p042_dictionary_latin_phonetic_special__v3_box_003__body_line,ꑍꇅ（二画）,ꑍꇅ《二画》
le_e_ma_mu_guide_line_000170,勒俄玛牧导读教程,line,yi_han,medium,True,0.280000,0.280000,0.280000,0.000000,0.000000,7,18,25,"latex,ascii_any",book_00170_le_e_ma_mu_guide__le_e_ma_mu_guide_p086_modern_yi_han_mixed__v3_box_002__body_line,ꋋꆹꄲꃅꄜ①／ꋋꈨꑞꑵꄜ这是指什么？,ꋋꆹꄲꃅꄜ\(^{①}\)／ꋋꈨꑞꑵꄜ这是指什么？
handwriting_region_000566,真实手写,region,yi_han,hard,False,0.250000,0.268657,0.268657,0.280702,1.000000,18,72,70,ascii_any,handwriting_00022_hw_20260619_022_HWN_PARAGRAPH_3LINE_002,"ꇤꇉꆹꀸꄃ，ꒈꀑꒈꂥꏍꄉꈻ，
ꇐꉙꀉꇐꌧꅊꇈ。
ꎺꁧꀂꏽꉆꄉꁻ，ꃮꃀꌧꊈꀑ
唯见日寒月暖，ꒆꂪꇱ，
ꉾꂾꏂꉐꒃ来煎人寿ꊿꀀꁍ
ꃅꄉ，ꒆꇊꂾꌕꉖ。","ꇤꇉꆹꀸꎳ，ꒈꀑꒈꈨꏍꏾꈻ，
ꇐꉙꀉꇐꌧꅊꇈ。
ꎺꁧꀂꄭꉆꄉꁻ，ꃮꃀꌧꊈꀑ
ꆿꀒꈲꊏꈘꒌ，ꒆꂪꇱ，
ꉾꂾꏂꒊꒃꎯꁢꋘꐱꃑ
ꃅꄉ，ꒆꇊꂾꌕꉖ。"
gen_yu_hua_line_000016,根与花,line,yi,easy,True,0.250000,0.250000,0.250000,0.500000,,1,4,4,ascii_any,book_00016_gen_yu_hua__gen_yu_hua_p018_novel_plain_yi__v3_box_001__header_text_line,12ꀋꍝ,12ꀋꂓ
luoe_teyi_line_000276,《勒俄特依》译注,line,yi_han,medium,True,0.250000,0.250000,0.250000,0.333333,0.000000,2,8,8,,book_00276_luoe_teyi_annotated__luoe_teyi_annotated_p086_old_luoe_reference__v3_box_001__header_text_line,四、ꃰꎝ武哲73,四、ꃰꎝ武哲ꊌ？
xuan_yi_2_line_000285,凉山彝文资料选译第2集,line,yi,medium,False,0.250000,0.250000,0.250000,0.250000,,1,4,4,,book_00321_xuan_yi_2__xuan_yi_2_p001_old_selection_same_batch__v3_box_007__mixed_cover_line,ꑍꉜꀕꌠ,ꑍꋐꀕꌠ
yi_dictionary_line_000479,彝文检字本,line,yi,medium,True,0.222222,0.222222,0.222222,0.235294,,4,18,18,,book_00515_yi_dictionary__yi_dictionary_p006_dictionary_latin_phonetic_special__v3_box_005__body_line,ꊁꃅ20ꃪꎖꋐꍑꌌꁊꈴꃅꃷꎭꋺꇈ，ꉹ,ꊁꃅꉔꄲꐂꎖꌸꍑꌌꁊꈴꃅꃷꎭꋺꇈ，ꉹ
handwriting_region_000557,真实手写,region,yi,hard,False,0.219512,0.184211,0.184211,0.218750,,9,41,41,ascii_any,handwriting_00013_hw_20260619_013_HWN_PARAGRAPH_2LINE_013,"ꁮꏂꃪꆉꇵꆹꈯ，ꀻꑳꐎ
ꁠꇁ，ꆪꌺꐧꋉꄉ，
ꐛꆹꊿꃅꐙ，ꋧꌺꏃꋍꈓ，ꊫꉻ
ꆻꄧꄃ。","ꁮꏂꃪꆉꇵꆹꈯ，ꀻꉢꐎ
ꁮꇁ，ꈤꌺꄗꋉꏾ，ꐛꆹ
ꊿꃅꐙ，ꋧꌺꏃꋍꀂ，ꊫꉻ
ꆻꄧꎳ。"
handwriting_region_000551,真实手写,region,yi,hard,False,0.214286,0.230769,0.230769,0.272727,,9,41,42,ascii_any,handwriting_00007_hw_20260619_007_HWN_PARAGRAPH_2LINE_007,"ꈌꅑꑌꀋꋠ，
ꐧꇁꃰꊿꋒ，ꐧꋉꈲꏿ
ꎻ。ꀏꆹꅉꂸꐛ，ꈪꊂꐧ
ꋦꁍꑌꐛ，ꉷꂷꉆꅉꋒ。","ꈌꅑꁻꀋꋠ，
ꐔꑍꃰꅵꋒ，ꄥꀥꀿꊙꏿ
ꎻ。ꀏꆹꅉꂸꐛ，ꈪꊂꐧ
ꋦꁍꑌꐛ，ꃘꂷꉆꅉꋒ。"
luoe_teyi_line_000280,《勒俄特依》译注,line,yi_han,medium,True,0.214286,0.214286,0.214286,0.333333,0.000000,3,14,14,,book_00309_luoe_teyi_annotated__luoe_teyi_annotated_p332_old_luoe_reference__v3_box_018__header_text_line,十二、ꈬꉻꋊꀨ古侯简谱319,十二、ꈬꉻꋊꀨ古侯简谱：ꐈꅥ
luoe_teyi_line_000282,《勒俄特依》译注,line,yi_han,medium,True,0.214286,0.214286,0.214286,0.200000,0.000000,3,14,12,,book_00318_luoe_teyi_annotated__luoe_teyi_annotated_p414_old_luoe_reference__v3_box_019__header_text_line,十三、ꐈꆀꋊꀨ曲尼简谱401,十三、ꐈꆀꋊꀨ曲尼简谱ꀒ
xuan_yi_2_line_000381,凉山彝文资料选译第2集,line,yi_han,medium,False,0.214286,0.214286,0.214286,0.400000,0.142857,3,14,13,,book_00417_xuan_yi_2__xuan_yi_2_p134_old_selection_same_batch__v4_box_005__part_003,ꈓꈥꉜꄡꄸ，不要岐视素木盔，,ꀊꈥꉜꄡ，不要歧视素木盔，
xuan_yi_2_line_000385,凉山彝文资料选译第2集,line,yi_han,medium,False,0.214286,0.214286,0.214286,0.200000,0.285714,3,14,14,,book_00421_xuan_yi_2__xuan_yi_2_p134_old_selection_same_batch__v4_box_006__part_001,ꀋꆳꉜꄡꄸ，不要岐视麻斑鸠，,ꀋꆳꉜꄡꄯ，不要歧视麻斑鹰，
