id,image,gt,source_name,source_code,source_title,publisher,publication_year,source_material,source_category,sample_type,scene,difficulty,script_mix,has_digit,line_count,nonspace_len,yi_count,han_count,latin_count,digit_count,original_id,original_image,page_file,page,box,part,region_kind,original_source_name,original_source_code
gen_yu_hua_line_000001,images/gen_yu_hua_line_000001.png,ꀋꂓ……1—20,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,8,2,0,0,3,book_00001_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_001,images/book_00001_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_001.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,1,,,
gen_yu_hua_line_000002,images/gen_yu_hua_line_000002.png,ꑋꃨ……21—38,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,9,2,0,0,4,book_00002_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_002,images/book_00002_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_002.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,2,,,
gen_yu_hua_line_000003,images/gen_yu_hua_line_000003.png,ꉊꈯꎟꋠꏝ……39—51,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,12,5,0,0,4,book_00003_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_003,images/book_00003_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_003.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,3,,,
gen_yu_hua_line_000004,images/gen_yu_hua_line_000004.png,ꅩꌺꈍꃅꂯ……52—71,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,12,5,0,0,4,book_00004_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_004,images/book_00004_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_004.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,4,,,
gen_yu_hua_line_000005,images/gen_yu_hua_line_000005.png,ꁏꇰꇙꂷ……72—82,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,11,4,0,0,4,book_00005_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_005,images/book_00005_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_005.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,5,,,
gen_yu_hua_line_000006,images/gen_yu_hua_line_000006.png,ꉂꃆꐙꍚꀕ，ꌂꏣꎵꑳꀕ……83—98,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,18,10,0,0,4,book_00006_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_006,images/book_00006_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_006.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,6,,,
gen_yu_hua_line_000007,images/gen_yu_hua_line_000007.png,ꐙꈌꀊꂵ……99—116,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,12,4,0,0,5,book_00007_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_007,images/book_00007_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_007.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,7,,,
gen_yu_hua_line_000008,images/gen_yu_hua_line_000008.png,ꐴꌊꆀꃨ……117—127,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,13,4,0,0,6,book_00008_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_008,images/book_00008_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_008.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,8,,,
gen_yu_hua_line_000009,images/gen_yu_hua_line_000009.png,ꑋꈌꁬꌺꇘꄮꇬ……128—133,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,16,7,0,0,6,book_00009_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_009,images/book_00009_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_009.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,9,,,
gen_yu_hua_line_000010,images/gen_yu_hua_line_000010.png,ꊈꌱꀋꃀ……134—147,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,13,4,0,0,6,book_00010_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_010,images/book_00010_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_010.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,10,,,
gen_yu_hua_line_000011,images/gen_yu_hua_line_000011.png,ꆿꇭꃀ……148—161,根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,novel_plain_yi,line,new_print_pdf,easy,yi,True,1,12,3,0,0,6,book_00011_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_011,images/book_00011_gen_yu_hua__gen_yu_hua_p006_novel_plain_yi__v4_box_006__part_011.png,gen_yu_hua_p006_novel_plain_yi.png,6,6,11,,,
