id,sample_type,source_code,source_name,scene,difficulty,script_mix,has_digit,gt_length_bucket,gt_lines_bucket,ned,ws_ned,nfkc_ws_ned,yi_ned,han_ned,digit_ned,exact,dist,pred_len,label_len,gt_lines,risk_flags,original_id,answer,label
real_screen_photo_page_012_part2,page,xuan_yi_2,凉山彝文资料选译第2集,real_screen_photo,hard,yi_han,False,061-200 chars,2-4 lines,0.941606,0.944037,0.944037,0.166667,0.000000,,False,1032,1096,67,4,"ascii_any,long_pred",real_screen_photo_page_012_part2,"ꅩꌺꉌꃀꐂꀕꁏ，女儿的心怦怦跳：
ꑓꁴꌦꍻꀕ。女儿眼泪盈眶。
ꀉꂿꅩꌺꑠꍈꑌ！可怜啊！妈妈的女儿
，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，
ꁩꇁꏃꑍꊯꌕꐛꇬꁲ，过了七又十三天，
ꆍ
ꆵ","ꅩꌺꄅꃀꐂꀕꁏ，女儿的心怦怦跳：
ꑓꁴꌦꍻꀕ。女儿眼泪盈眶。
ꀉꂿꅩꌺꑠꍈꑌ！可怜啊！妈妈的女儿
ꊁꇁꏃꑍꊯꌕꐛꇬꁍ，过了七又十三天，"
liecun_song_yi_cover_page_000001,page,liecun_song_yi,猎村的歌声彝文版,old_print_pdf,medium,other,False,001-020 chars,2-4 lines,0.875000,0.937500,0.937500,1.000000,,,False,21,24,16,2,ascii_any,cover_candidate_007_liecun_song_yi,"！！
ꅔ
ꅐ
ꄝꉧ
ꍧꋉꊇ
ꋅ
ꒉꄯꃚ
ꏴ
ꊩꆂ","ꈌꌋꁡꇤꑵꃚꌒ
ꌧꍧꊿꋅꄯꒉꅏꅉ"
college_yi_language_cover_page_000001,page,college_yi_language,大学彝语文：彝文,new_print_pdf,medium,han,False,021-060 chars,2-4 lines,0.737500,0.753247,0.753247,0.805556,0.000000,,False,59,80,22,3,ascii_any,cover_candidate_004_college_yi_language,"ꒉꌶꅉꆀꉙꂘꇐꍏꍓꆍꊔꄵꊂꈠꈌꃘꊉꊉꊉꊃꊉꆀꆀꈌꌦꁍꆀꆂꆂꆳꁍꇉꆂꆈꉭꆀꆂꆳ
ꆂꆪꁆꍃꈪꂁꌕꇁꈌꊃꆂꉌꈌꆉꆴꆂꆪꁍꆉꈘꀥꆉꀮꄉꆂꆂ
大学彝语文
ꌧꀵꊿꋅꄯꒉꅏꅉ","ꒉꌶꅉꆀꉙꂘꇐ
大学彝语文
ꌧꍧꊿꋅꄯꒉꅏꅉ"
xuan_yi_3_region_new_p088_region_01,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.729167,0.714286,0.714286,0.333333,0.687500,,False,35,48,38,4,ascii_any,xuan_yi_3_region_new_p088_region_01,"ꊰ
ꀉꐚꃮꇬꎷ，
ꃌꅿꄏꇬꎷ。
ꀮꐔꀑꀋꁮ，
ꉾꐔꀑꆂꁭ，
ꉸ
ꐊ
ꉭ
只
顾
叫，
只
顾
。","ꊰ十
ꀉꐚꃮꇬꎷ，乌鸦只顾叫
ꃌꅿꄏꇬꎷ。女人只顾闹
ꀮꐔꀑꀋꁮ，姑娘不开窍"
xuan_yi_3_region_new_p152_region_01,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.700000,0.659574,0.659574,0.269231,0.500000,,False,35,49,50,3,ascii_any,xuan_yi_3_region_new_p152_region_01,"ꊿꄸꊿꏚꀋꏦ，
ꇥꉢꒉꈾꀋꏦ。
ꀠꑭꅑꄉꏬꋚꏾ。
ꀣꐔꉍꄉꏬꋚꄉ。
寝子不怕害羞，
喉头不怕开水。","ꊿꄸꊿꏚꀋꏦ，瘪子不怕害羞，
ꇥꉢꒉꈾꀋꏦ。喉头不怕开水。
ꀠꑭꅑꄉꏬꋚꏾ。长着蛤蟆脚却想雄鹰食。
"
xuan_yi_3_region_new_p116_region_02,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.690909,0.708333,0.708333,0.100000,0.000000,,False,38,55,51,4,ascii_any,xuan_yi_3_region_new_p116_region_02,"ꈆꆏꅗꌠꏦ，
ꋏꆏꌦꌠꏦ。
ꈌꌈꌭꀋꉆ，
ꏲꂿꄡꀋꉆ。
放松怕跑掉，
捏紧怕死掉。
狗恶栏不住，
钟声挡不住。","ꄝꆏꆶꌠꏦ，放松怕跑掉，
ꋏꆏꌦꌠꏦ。捏紧怕死掉。
ꈌꌈꌭꀋꉆ，狗恶栏不住，
ꏲꂿꄡꀋꉆ。钟声挡不住。"
xuan_yi_3_region_new_p088_region_03,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,061-200 chars,2-4 lines,0.636364,0.644068,0.644068,0.000000,0.000000,,False,42,66,62,4,ascii_any,xuan_yi_3_region_new_p088_region_03,"ꃌꁧꃌꇱꋦ，
ꃌꌧꃌꆗꈔ。
ꃬꉅꌠꋚꀋꉬ，
ꃌꅿꉉꌠꅇꀋꉬ。
愚蠢妇女发家，
狡猾妇女招祸。
鸡拣的食子不成粮，
女人说的话不成话。","ꃌꁧꃌꇱꋦ，愚蠢妇女发家，
ꃌꌧꃌꆗꈔ。狡猾妇女招祸。
ꃬꉅꌠꋚꀋꉬ，鸡拣的食子不成粮，
ꃌꅿꉉꌠꅇꀋꉬ。女人说的话不成话。"
modern_yi_course_cover_page_000001,page,modern_yi_course,现代彝语教程,new_print_pdf,medium,yi_han,False,021-060 chars,5-12 lines,0.582677,0.598361,0.598361,0.752688,0.071429,,False,74,127,54,5,ascii_any,cover_candidate_008_modern_yi_course,"ꁿꃅꋧꆾꈌꈌꆨꈌꈌꆉꆾꆉꈌꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆾꆉꆉꆾꆉꆉꆉꆉꆾꆉꆉꆀ高等学校彝语文教材
ꇓꑭꋧꁍꋇꋇꆨ，
ꀋꃋꋋꄮꆀꉙꂘꃆꀋꃋꋌꄮꆀꉙꂘꃆ
现代彝语教程
四川出版集团ꌧꍧꉻꏑꄯꒉꅏꅉ
四川民族出版社ꌧꍧꊿꋅꄯꒉꅏꅉ","高等彝语文教材
ꀋꃋꋋꄮꆀꉙꂘꃆ
现代彝语教程
四川出版集团ꌧꍧꉻꏒꄯꒉꅏꅉ
四川民族出版社ꌧꍧꊿꋅꄯꒉꅏꅉ"
le_e_ma_mu_screen_photo_p020,page,le_e_ma_mu_guide,勒俄玛牧导读教程,real_screen_photo,hard,yi_han,False,201+ chars,13+ lines,0.508772,0.468992,0.468992,0.237113,0.179104,0.133333,False,145,275,285,20,ascii_any,le_e_ma_mu_screen_photo_p020,"ꊒꊒꆂꇉꇉꇉꇉꇉ，
（ꇖ）ꄹꀋꁨꏦꀋꁨ没规矩
ꊰꑋ，ꃅꇏꄸꌠꄤꃅ以德服人
231
234
（ꋍ）ꃅꇏꄸꀋꉆ品德不能太差了234
（ꑍ）ꋚꄤꑕꂥꌰꆀ
（ꌕ）ꋌꉸꄉꋋꀱ以善报善
ꊯꌕ，ꑇꇠꂮ宗教观念
（ꋍ）ꐰꇑ运气
（ꑍ）ꈐꉘ声望
（ꌕ）ꐊꇐ护佑神
（ꇖ）ꀗꎆꏿ献酬劳
（ꉬ）ꇐꑌ稳重
ꊯꇖ，ꐋꎹꊈꎷ交友待友
（ꋍ）ꐋꎹ交友
（ꑍ）ꏣꐋ相护
（ꌕ）ꏣꑟꉜꅲ要关照亲戚
238
237
240
240
242
242
243
244
247
247
249
250
ꊯꉬ，ꉌꌒꉪꅉꐛ吉祥如意
（ꋍ）ꌒꌠ幸福
（ꑍ）ꃚꅉꐛ如意
252
252
254
ꃅꃣꎵ","（ꌕ）ꄸꌠꄸꀋꌧ孬人不知孬230
（ꇖ）ꄹꀋꁨꏦꀋꁨ没规矩231
ꊰꑋ.ꃅꇏꄸꌠꄤꃅ 以德服人234
（ꋍ）ꃅꇏꄸꀋꉆ 品德不能太差了234
（ꑍ）ꋚꄤꑕ别抠搜237
（ꌕ）ꋌꉚꄉꋋꀱ 以善报善238
ꊯꌕ.ꑇꇐꃆꂮ宗教观念240
（ꋍ）ꐰꇑ运气240
（ꑍ）ꈐꉘ 声望242
（ꌕ）ꐊꇐ护佑神242
（ꇖ）ꀗꎆꐎ 献酬劳243
（ꉬ）ꇐꑌ稳重244
ꊯꇖ.ꐋꎹꊈꎷ交友待友247
（ꋍ）ꐋꎹ交友247
（ꑍ）ꏣꅔ相护249
（ꌕ）ꏣꑟꉜꅲ 要关照亲戚250
ꊯꉬ.ꉌꌒꉪꅉꐛ吉祥如意252
（ꋍ）ꌒꌠ 幸福252
（ꑍ）ꉪꅉꐛ如意254
ꊰꃘ.ꎃꊒꌠꃅ 做事要正258"
real_screen_photo_page_011_part1,page,le_e_ma_mu_guide,勒俄玛牧导读教程,real_screen_photo,hard,yi_han,True,201+ chars,5-12 lines,0.503597,0.490637,0.490637,0.011834,0.291667,0.000000,False,140,275,278,11,ascii_any,real_screen_photo_page_011_part1,"（ꃘ）ꑞꈉꆏꑞꌷ学以致用
ꊂꋊꊁꒆꌠ／ꊂꋊꊁꒆꇫꐥꌠ
ꄸꌠꋠꇐꈤ①／ꊿꏪꁙꏪꅐꌠꌠꆏꀋꋠꅍꀋꐥ
ꉔꌠꌷꇐꈤ／ꌳꉔꌠꆏꀋꌷꅍꀋꐥ
ꋍꑍꉉꌠꒉ／ꋍꑍꋋꑍꆏꉉꉔꂶꌠꀉꒉꑵ
ꋧꌠꋞꌠꌷ②／ꑠꅹꅇꉉꉐꁱꃆꂮꌷ
ꋍꑍꊋꌠꒉ／ꋍꑍꋋꑍꆏꊋꌌꌞꄩꊋꂶꌠꀉꒉꑵ
ꌀꒃꊋꇱꌷ③／ꑠꅹꅸꀵꏀꅞꏡꁈꆺ
ꋍꑍꈄꌠꒉ／ꋍꑍꋋꑍꆏꌳꈄꂶꌠꀉꒉꑵ
ꌉꈿꁻꏤꌷ／ꑠꅹꌉꈿꁻꏤꌠꃆꂮꌷꌶ
ꋍꑍꇱꌠꒉ④／ꋍꑍꋋꑍꆏꅸꇁꁮꐚꀵꄉꌉꌠꀉꒉ
舜人无所不吃，
居木的子孙们啊：
贤人无所不学；
有时能讲者为贵，
故学演讲的口才；
有时胜者为贵，
故学制胜的武术，
有时勇者为贵，
故学打战的战术；","（ꃘ）ꑞꈉꆏꑞꌷ学以致用
ꊂꋊꊁꒆꌠ／ꊂꋊꊁꒆꇫꐥꌠ居木的子孙们啊：
ꄸꌠꋠꇐꈤ①／ꊿꏪꁙꏪꅐꌠꌠꆏꀋꋠꅍꀋꐥ孬人无所不吃，
ꉔꌠꌷꇐꈤ／ꌳꉔꌠꆏꀋꌷꅍꀋꐥ贤人无所不学；
ꋍꑍꉉꌠꒉ／ꋍꑍꋋꑍꆏꉉꉔꂶꌠꀉꒉꑵ有时能讲者为贵，
ꋧꌠꋞꌠꌷ②／ꑠꅹꅇꉉꉐꁱꃆꂮꌷ故学演讲的口才；
ꋍꑍꊋꌠꒉ／ꋍꑍꋋꑍꆏꊋꌌꌞꄩꊋꂶꌠꀉꒉꑵ有时胜者为贵，
ꌀꒃꊋꇱꌷ③／ꑠꅹꅸꀵꏀꅞꏡꁈꌷ故学制胜的武术，
ꋍꑍꈄꌠꒉ／ꋍꑍꋋꑍꆏꌳꈄꂶꌠꀉꒉꑵ有时勇者为贵，
ꌉꈿꁻꏤꌷ／ꑠꅹꌉꈿꁻꏤꌠꃆꂮꌷꌶ故学打战的战术；
ꋍꑍꇱꌠꒉ④／ꋍꑍꋋꑍꆏꅸꇁꁮꐚꀵꄉꌉꌠꀉꒉꑵ 有时冲锋陷阵者为贵，"
